1. Wristband with kinetic energy harvesting capabilities
2. Handheld exercise ball with embedded kinetic energy harvesting parts
3. Ankle bracelet that harvests energy from your foot movements
4. Resistance band with built-in kinetic energy harvesting technology
5. Arm and leg bands with built-in kinetic energy harvesting technology
6. Jump rope with embedded kinetic energy harvesting parts
7. Braided rope with built-in kinetic energy harvesting technology
8. Balance board with embedded kinetic energy harvesting parts
9. Suspension trainer with built-in kinetic energy harvesting technology
10. Exercise machine with built-in kinetic energy harvesting technology
11. Exercise mat with embedded kinetic energy harvesting parts
12. Glider with built-in kinetic energy harvesting technology
13. Balance discs with built-in kinetic energy harvesting technology
14. Resistance cable with embedded kinetic energy harvesting parts
15. Core Slider with built-in kinetic energy harvesting technology
16. Exercise bike with embedded kinetic energy harvesting parts
17. Elliptical machine with built-in kinetic energy harvesting technology
18. Step machine with embedded kinetic energy harvesting parts
19. Recumbent bike with built-in kinetic energy harvesting technology
20. Treadmill with embedded kinetic energy harvesting parts
21. Rowing machine with built-in kinetic energy harvesting technology
22. Dumbbells with embedded kinetic energy harvesting parts
23. Medicine ball with built-in kinetic energy harvesting technology
24. Kettlebells with embedded kinetic energy harvesting parts
25. Pilates ball with built-in kinetic energy harvesting technology
26. Resistance bands with embedded kinetic energy harvesting parts
27. Activity tracker with built-in kinetic energy harvesting technology
28. Yoga mat with embedded kinetic energy harvesting parts
29. Ab wheel with built-in kinetic energy harvesting technology
30. Abdominal roller with embedded kinetic energy harvesting parts
31. Resistance tubes with built-in kinetic energy harvesting technology
32. Agility ladder with embedded kinetic energy harvesting parts
33. Skipping rope with built-in kinetic energy harvesting technology
34. Balance beam with embedded kinetic energy harvesting parts
35. Exercise trampoline with built-in kinetic energy harvesting technology
36. Plyo box with embedded kinetic energy harvesting parts
37. Weighted hula hoop with built-in kinetic energy harvesting technology
38. Exercise roller with embedded kinetic energy harvesting parts
39. Pilates Ring with built-in kinetic energy harvesting technology
40. Activity monitor with embedded kinetic energy harvesting parts
41. Foam roller with built-in kinetic energy harvesting technology
42. Step aerobics platform with embedded kinetic energy harvesting parts
43. Elliptical trainer with built-in kinetic energy harvesting technology
44. Climbing machine with embedded kinetic energy harvesting parts
45. Jumping jack with built-in kinetic energy harvesting technology
46. Weight bench with embedded kinetic energy harvesting parts
47. Multi-gym with built-in kinetic energy harvesting technology
48. Core board with embedded kinetic energy harvesting parts
49. Chin-up bar with built-in kinetic energy harvesting technology
50. Ballistic training tool with embedded kinetic energy harvesting parts
51. Pilates resistance bands with built-in kinetic energy harvesting technology
52. Yoga wheel with embedded kinetic energy harvesting parts
53. Resistance band loops with built-in kinetic energy harvesting technology
54. Resistance bands handle with embedded kinetic energy harvesting parts
55. Pilates arc with built-in kinetic energy harvesting technology
56. Pilates ankle weights with embedded kinetic energy harvesting parts
57. Elliptical stepper with built-in kinetic energy harvesting technology
58. Cardio jump rope with embedded kinetic energy harvesting parts
59. Core slings with built-in kinetic energy harvesting technology
60. Exercise jump rope with embedded kinetic energy harvesting parts
61. Vertical climber with built-in kinetic energy harvesting technology
62. Exercise ball chair with embedded kinetic energy harvesting parts
63. Balance board disc with built-in kinetic energy harvesting technology
64. Pilates toning ring with embedded kinetic energy harvesting parts
65. Pilates mini ball with built-in kinetic energy harvesting technology
66. Ab mat with embedded kinetic energy harvesting parts
67. Pilates magic circle with built-in kinetic energy harvesting technology
68. Push up bar with embedded kinetic energy harvesting parts
69. Ab roller wheel with built-in kinetic energy harvesting technology
70. Seated rowing machine with embedded kinetic energy harvesting parts
71. Pilates sticks with built-in kinetic energy harvesting technology
72. Pilates rollers with embedded kinetic energy harvesting parts
73. Pilates reformer with built-in kinetic energy harvesting technology
74. Pilates chair with embedded kinetic energy harvesting parts
75. Pilates spine corrector with built-in kinetic energy harvesting technology
76. Exercise board with embedded kinetic energy harvesting parts
77. Foot massager with built-in kinetic energy harvesting technology
78. Inversion table with embedded kinetic energy harvesting parts
79. Jump rope with handle with built-in kinetic energy harvesting technology
80. Pilates arch with embedded kinetic energy harvesting parts
81. Pilates arc barrel with built-in kinetic energy harvesting technology
82. Step up box with embedded kinetic energy harvesting parts
83. Stability ball with built-in kinetic energy harvesting technology
84. Pilates rings with embedded kinetic energy harvesting parts
85. Resistance loop bands with built-in kinetic energy harvesting technology
86. Pilates arc barrel with embedded kinetic energy harvesting parts
87. Jump rope with counter with built-in kinetic energy harvesting technology
88. Exercise ropes with embedded kinetic energy harvesting parts
89. Exercise hoops with built-in kinetic energy harvesting technology
90. Weighted vests with embedded kinetic energy harvesting parts
91. Core roller with built-in kinetic energy harvesting technology
92. Power roller with embedded kinetic energy harvesting parts
93. Body sculpting bars with built-in kinetic energy harvesting technology
94.balance steps with embedded kinetic energy harvesting parts
95. Ab crunch machine with built-in kinetic energy harvesting technology
96. Push-up bars with embedded kinetic energy harvesting parts
97. Pilates power ring with built-in kinetic energy harvesting technology
98. Resistance bar with embedded kinetic energy harvesting parts
99. Pilates resistance loop with built-in kinetic energy harvesting technology
100. Weighted gloves with embedded kinetic energy harvesting parts
